"","beta","nPassesPerScan","meanRate"
"388",0.49,2,2.34174757729885
"389",0.49,4,2.35201736387528
"390",0.49,8,2.37202163201587
"391",0.49,16,2.3635929450818
"392",0.49,32,2.35807038517454
"393",0.5,0,1.88480847077784
"394",0.5,0.5,2.40293374169855
"395",0.5,1,2.37839124596213
"396",0.5,2,2.38340068312752
"397",0.5,4,2.38815185500111
"398",0.5,8,2.39545497537949
"399",0.5,16,2.39792088185422
"400",0.5,32,2.40138100694264
"401",0.51,0,1.88282072475201
"402",0.51,0.5,2.43494404242628
"403",0.51,1,2.41232948808359
"404",0.51,2,2.42172889434364
"405",0.51,4,2.4191975136373
"406",0.51,8,2.41070870565415
"407",0.51,16,2.43058464828071
"408",0.51,32,2.44970366230422
"409",0.52,0,1.88348222826561
"410",0.52,0.5,2.46942725343584
"411",0.52,1,2.44830287450893
"412",0.52,2,2.45882754113788
"413",0.52,4,2.45307239953308
"414",0.52,8,2.43291870711539
"415",0.52,16,2.46632874085322
"416",0.52,32,2.49249434409409
"417",0.53,0,1.88519543830879
"418",0.53,0.5,2.50249980926873
"419",0.53,1,2.48382495967646
"420",0.53,2,2.49355081826743
"421",0.53,4,2.48981790146473
"422",0.53,8,2.46595243588617
"423",0.53,16,2.50047703172237
"424",0.53,32,2.52618152654301
"425",0.54,0,1.88260842957376
"426",0.54,0.5,2.53416170992497
"427",0.54,1,2.51911571112227
"428",0.54,2,2.5258987257323
"429",0.54,4,2.52943401943225
"430",0.54,8,2.50980989196651
"431",0.54,16,2.53302952088819
"432",0.54,32,2.55076520965099
"433",0.55,0,1.87552238516734
"434",0.55,0.5,2.56415975435454
"435",0.55,1,2.55417512884637
"436",0.55,2,2.55837723444694
"437",0.55,4,2.57243529093216
"438",0.55,8,2.56651277010289
"439",0.55,16,2.56341979205712
"440",0.55,32,2.56491175218315
"441",0.56,0,1.86345415072914
"442",0.56,0.5,2.59093929673731
"443",0.56,1,2.58627083251159
"444",0.56,2,2.58979170737826
"445",0.56,4,2.61791690543689
"446",0.56,8,2.62178207878935
"447",0.56,16,2.59985932943293
